seed,method_id,mean_regret_difference_vs_Q0_B1,simultaneous_upper,maxT_p,favorable_targets,worst_target,Q2_pass
3,U7,0.2881346312994988,0.44740551743036294,1.0,1,0.5710353388619231,0
3,U5,0.40992826658195447,0.5691991527128186,1.0,0,0.49649092916437454,0
3,U11,0.5927976492851872,0.7520685354160513,1.0,0,0.6808314978915727,0
3,U13,-0.014742622179635945,0.1445282639512282,0.5175097276264592,6,0.2859213404854039,0
3,U14,0.4088280175885032,0.5680989037193673,1.0,0,0.6551843289652459,0
3,U15,0.42609278653893606,0.5853636726698002,1.0,0,0.5523940352966216,0
4,U7,0.3472005847390712,0.5064714708699354,1.0,1,0.5370416490759156,0
4,U5,0.3924682101335594,0.5517390962644235,1.0,0,0.5004751283757769,0
4,U11,0.5004739703623033,0.6597448564931674,1.0,0,0.6679046151885237,0
4,U13,0.09162995202316504,0.2509008381540292,1.0,4,0.47272535320452286,0
4,U14,0.2873899920081378,0.44666087813900196,1.0,0,0.6285328572791195,0
4,U15,0.43111817887978476,0.5903890650106489,1.0,0,0.6778199762565039,0
