seed,information_class,registered_methods,best_registered_method,best_mean_standardized_regret,outcome_dependent_family_redefinition,field_specific_only
3,I0,B0|B1|B2|B3|B4O|B4S,B4O,0.36685361869431765,0,1
3,IS,S1|S2,S2,0.7458422347149141,0,1
3,IU_ISU,U1|U2|U3|U4|U5|U6|U7|U11|U12|U13|U14|U15,U13,0.33864056415217253,0,1
3,ILc,L1|L7,L7,0.08279432226091084,0,1
4,I0,B0|B1|B2|B3|B4O|B4S,B2,0.35048034859056487,0,1
4,IS,S1|S2,S2,0.7511831739965471,0,1
4,IU_ISU,U1|U2|U3|U4|U5|U6|U7|U11|U12|U13|U14|U15,U13,0.4653350333230629,0,1
4,ILc,L1|L7,L7,0.1106669682773286,0,1
