tag,omitted_test_subject,baseline_kappa,subject_erased_kappa,subject_delta_kappa,null_delta_kappa_mean,subject_minus_null_kappa,empirical_one_sided_p
H2000_s0,1,0.5960093577028889,0.5610497328426812,0.03495962486020765,0.00945502043497104,0.02550460442523661,0.009950248756218905
H2000_s0,2,0.6374840701471771,0.5990120068961852,0.03847206325099195,0.009348651600746449,0.0291234116502455,0.004975124378109453
H2000_s0,3,0.6149942818844156,0.58844626437824,0.026548017506175636,0.008488771589447008,0.01805924591672863,0.024875621890547265
H2000_s0,4,0.6162679341701185,0.5917137389209204,0.024554195249198107,0.008298788197340187,0.01625540705185792,0.04477611940298507
H2000_s0,5,0.5969130228745756,0.570531783021929,0.02638123985264662,0.007156911866735565,0.019224327985911057,0.04477611940298507
H2000_s0,6,0.625508834175371,0.6131655129305282,0.01234332124484272,0.008236312171222105,0.004107009073620615,0.31840796019900497
H2000_s0,7,0.5953797556882524,0.5659231642920692,0.029456591396183174,0.008416264811681886,0.021040326584501286,0.029850746268656716
H2000_s0,8,0.5857064214800587,0.5527353615024524,0.0329710599776063,0.008903839340937246,0.02406722063666905,0.024875621890547265
H2000_s0,9,0.6148846377650279,0.5914639934328824,0.023420644332145524,0.00828019384036531,0.015140450491780214,0.06965174129353234
H2000_s0,10,0.6066278188320089,0.5832866711023235,0.02334114772968543,0.007442971376960388,0.015898176352725044,0.0845771144278607
