tag,omitted_test_subject,baseline_kappa,subject_erased_kappa,subject_delta_kappa,null_delta_kappa_mean,subject_minus_null_kappa,empirical_one_sided_p
released,1,0.6850550950328227,0.6442951643574809,0.04075993067534178,0.014464849726950588,0.026295080948391194,0.009950248756218905
released,2,0.7020153085768017,0.6648221176726931,0.037193190904108664,0.013211013213182741,0.02398217769092592,0.004975124378109453
released,3,0.6854933803245581,0.6503432472354533,0.03515013308910475,0.012499707225241128,0.02265042586386362,0.014925373134328358
released,4,0.6976258477975417,0.6539088759009832,0.04371697189655843,0.01318703072813101,0.030529941168427423,0.004975124378109453
released,5,0.6800804133823205,0.6399031248419598,0.040177288540360734,0.013354105277713081,0.026823183262647654,0.009950248756218905
released,6,0.7018675032620059,0.6761376186419252,0.025729884620080634,0.013253032487118031,0.012476852132962603,0.0945273631840796
released,7,0.6826254196889362,0.6440553815842691,0.03857003810466708,0.012301555499541256,0.026268482605125827,0.009950248756218905
released,8,0.6799580181583272,0.6366806873622032,0.04327733079612406,0.012915066869738251,0.03036226392638581,0.009950248756218905
released,9,0.7022618233140712,0.6655898703861765,0.03667195292789471,0.014342047241917885,0.022329905685976828,0.014925373134328358
released,10,0.6919862203604701,0.654957452938125,0.037028767422345066,0.011349647616488134,0.02567911980585693,0.009950248756218905
