path,target_id,candidate_count,prior_spearman,prior_pairwise,prior_top1,prior_top3,prior_regret,prior_joint_good_coverage,full_spearman,full_pairwise,full_top1,full_top3,full_regret,full_joint_good_coverage,delta_spearman,delta_pairwise,delta_top1,delta_top3,delta_joint_good_coverage,regret_reduction
strict_source,1,24,0.5552656585117584,0.6985294117647058,0,0,0.5217391304347827,0,0.515665991642973,0.6875,0,0,0.21739130434782616,0,-0.039599666868785355,-0.011029411764705843,0,0,0,0.30434782608695654
strict_source,2,24,0.5182608695652173,0.6920289855072463,0,0,0.28985507246376807,0,0.38260869565217387,0.6485507246376812,0,0,0.28985507246376807,0,-0.13565217391304346,-0.04347826086956519,0,0,0,0.0
strict_source,3,24,-0.23977380708462293,0.4227941176470588,0,0,0.26086956521739135,0,-0.2080070413547182,0.4375,0,0,0.5797101449275363,0,0.03176676572990472,0.01470588235294118,0,0,0,-0.3188405797101449
strict_source,4,24,-0.05914329341813802,0.4763636363636364,0,0,0.8695652173913043,0,-0.03218090965398686,0.48,0,0,0.8695652173913043,0,0.02696238376415116,0.0036363636363636043,0,0,0,0.0
strict_source,5,24,-0.021767541421118485,0.4962962962962963,0,1,0.21739130434782616,0,-0.2289945357501665,0.4222222222222222,0,0,0.7101449275362319,0,-0.20722699432904804,-0.07407407407407407,0,-1,0,-0.49275362318840576
strict_source,6,24,0.11964327107216109,0.5384615384615384,0,1,0.14492753623188415,0,0.235806010622223,0.5824175824175825,0,1,0.14492753623188415,0,0.11616273955006191,0.04395604395604402,0,0,0,0.0
strict_source,7,24,0.29715037869922195,0.6153846153846154,0,0,0.5652173913043479,0,0.19012403439467057,0.5714285714285714,0,0,0.5652173913043479,0,-0.10702634430455138,-0.04395604395604402,0,0,0,0.0
strict_source,8,24,0.2000434924437021,0.5745454545454546,0,0,0.37681159420289845,0,0.6440530702372236,0.730909090909091,0,1,0.0724637681159419,0,0.44400957779352146,0.15636363636363637,0,1,0,0.30434782608695654
strict_source,9,24,0.5532840888784138,0.708029197080292,0,0,0.13043478260869557,1,0.39756419593936343,0.656934306569343,1,1,0.0,1,-0.15571989293905042,-0.051094890510948954,1,1,0,0.13043478260869557
target_unlabeled,1,24,0.3720628040968287,0.6323529411764706,0,0,0.5217391304347827,0,0.3859879616770608,0.6397058823529411,0,0,0.5217391304347827,0,0.013925157580232106,0.007352941176470562,0,0,0,0.0
target_unlabeled,2,24,0.7634782608695652,0.7934782608695652,0,1,0.10144927536231874,0,0.7556521739130433,0.7934782608695652,0,1,0.10144927536231874,0,-0.007826086956521872,0.0,0,0,0,0.0
target_unlabeled,3,24,0.08137513960948183,0.5257352941176471,0,0,0.26086956521739135,0,0.058746758541604514,0.5147058823529411,0,0,0.26086956521739135,0,-0.02262838106787731,-0.011029411764705954,0,0,0,0.0
target_unlabeled,4,24,0.6992824692379849,0.7745454545454545,0,1,0.05797101449275366,1,0.6349206499300112,0.7418181818181818,0,1,0.05797101449275366,1,-0.06436181930797369,-0.032727272727272716,0,0,0,0.0
target_unlabeled,5,24,0.5994780907376032,0.7333333333333333,0,1,0.10144927536231874,1,0.5746630935175281,0.7185185185185186,0,1,0.10144927536231874,1,-0.024814997220075075,-0.014814814814814725,0,0,0,0.0
target_unlabeled,6,24,0.5042420042641262,0.6813186813186813,0,1,0.14492753623188415,0,0.5586253092969268,0.6923076923076923,0,1,0.14492753623188415,0,0.05438330503280053,0.01098901098901095,0,0,0,0.0
target_unlabeled,7,24,0.2801827875289882,0.5897435897435898,0,0,0.3188405797101449,0,0.30541664106420763,0.6117216117216118,0,0,0.3188405797101449,0,0.025233853535219453,0.02197802197802201,0,0,0,0.0
target_unlabeled,8,24,0.22613612189288065,0.5781818181818181,0,0,0.536231884057971,0,0.26049141733429904,0.5927272727272728,0,0,0.536231884057971,0,0.03435529544141838,0.014545454545454639,0,0,0,0.0
target_unlabeled,9,24,0.3588517085885939,0.6167883211678832,0,0,0.3623188405797101,0,0.35928668035658007,0.6167883211678832,0,0,0.3623188405797101,0,0.00043497176798618087,0.0,0,0,0,0.0
