feature_set,path,conditioning,kernel,bandwidth_factor,statistic,association
strict_source_G3_architecture,strict_source,construction_competence,rbf,0.5,centered_hsic,0.1935389880630353
strict_source_G3_architecture,strict_source,functional_logits_probabilities,rbf,0.5,centered_hsic,0.20406746933748365
strict_source_G3_architecture,strict_source,metadata_seed_level_order,rbf,1.0,normalized_alignment,-0.019359778782820528
strict_source_G3_architecture,strict_source,source_performance,rbf,1.0,normalized_alignment,-0.014530642038466355
strict_source_G3_architecture,strict_source,construction_competence,rbf,1.0,normalized_alignment,-0.03662129194943639
strict_source_G3_architecture,strict_source,functional_logits_probabilities,rbf,1.0,normalized_alignment,-0.0266622671750666
strict_source_G3_architecture,strict_source,metadata_seed_level_order,rbf,1.0,centered_hsic,0.19419632314855212
strict_source_G3_architecture,strict_source,source_performance,rbf,1.0,centered_hsic,0.2154363526179005
strict_source_G3_architecture,strict_source,construction_competence,rbf,1.0,centered_hsic,0.15090385436833476
strict_source_G3_architecture,strict_source,functional_logits_probabilities,rbf,1.0,centered_hsic,0.18410301957720987
strict_source_G3_architecture,strict_source,metadata_seed_level_order,rbf,2.0,normalized_alignment,-0.037688685791764646
strict_source_G3_architecture,strict_source,source_performance,rbf,2.0,normalized_alignment,-0.0364051130411013
strict_source_G3_architecture,strict_source,construction_competence,rbf,2.0,normalized_alignment,-0.043579954247133304
strict_source_G3_architecture,strict_source,functional_logits_probabilities,rbf,2.0,normalized_alignment,-0.039862345781934566
strict_source_G3_architecture,strict_source,metadata_seed_level_order,rbf,2.0,centered_hsic,0.17495691197454527
strict_source_G3_architecture,strict_source,source_performance,rbf,2.0,centered_hsic,0.1957493302525838
strict_source_G3_architecture,strict_source,construction_competence,rbf,2.0,centered_hsic,0.12757741492147387
strict_source_G3_architecture,strict_source,functional_logits_probabilities,rbf,2.0,centered_hsic,0.1620270323569927
strict_source_G3_architecture,strict_source,metadata_seed_level_order,laplacian,0.5,normalized_alignment,-0.0030318864010653347
strict_source_G3_architecture,strict_source,source_performance,laplacian,0.5,normalized_alignment,0.007726791133635803
strict_source_G3_architecture,strict_source,construction_competence,laplacian,0.5,normalized_alignment,-0.02514112569089579
strict_source_G3_architecture,strict_source,functional_logits_probabilities,laplacian,0.5,normalized_alignment,-0.015513386343328918
strict_source_G3_architecture,strict_source,metadata_seed_level_order,laplacian,0.5,centered_hsic,0.22301094303704996
strict_source_G3_architecture,strict_source,source_performance,laplacian,0.5,centered_hsic,0.23228163895351633
strict_source_G3_architecture,strict_source,construction_competence,laplacian,0.5,centered_hsic,0.20985962037195058
strict_source_G3_architecture,strict_source,functional_logits_probabilities,laplacian,0.5,centered_hsic,0.2170425253383454
strict_source_G3_architecture,strict_source,metadata_seed_level_order,laplacian,1.0,normalized_alignment,-0.02121886467149196
strict_source_G3_architecture,strict_source,source_performance,laplacian,1.0,normalized_alignment,-0.01578953600917232
strict_source_G3_architecture,strict_source,construction_competence,laplacian,1.0,normalized_alignment,-0.035963169038111864
strict_source_G3_architecture,strict_source,functional_logits_probabilities,laplacian,1.0,normalized_alignment,-0.028153255235330094
strict_source_G3_architecture,strict_source,metadata_seed_level_order,laplacian,1.0,centered_hsic,0.22349747195890973
strict_source_G3_architecture,strict_source,source_performance,laplacian,1.0,centered_hsic,0.23761548624983508
strict_source_G3_architecture,strict_source,construction_competence,laplacian,1.0,centered_hsic,0.1987306127210945
strict_source_G3_architecture,strict_source,functional_logits_probabilities,laplacian,1.0,centered_hsic,0.21525012344031527
strict_source_G3_architecture,strict_source,metadata_seed_level_order,laplacian,2.0,normalized_alignment,-0.03262674472857604
strict_source_G3_architecture,strict_source,source_performance,laplacian,2.0,normalized_alignment,-0.029975339188534796
strict_source_G3_architecture,strict_source,construction_competence,laplacian,2.0,normalized_alignment,-0.04113726826550466
strict_source_G3_architecture,strict_source,functional_logits_probabilities,laplacian,2.0,normalized_alignment,-0.03623412939968819
strict_source_G3_architecture,strict_source,metadata_seed_level_order,laplacian,2.0,centered_hsic,0.2188066665598814
strict_source_G3_architecture,strict_source,source_performance,laplacian,2.0,centered_hsic,0.23553700337028546
strict_source_G3_architecture,strict_source,construction_competence,laplacian,2.0,centered_hsic,0.18712039679081172
strict_source_G3_architecture,strict_source,functional_logits_probabilities,laplacian,2.0,centered_hsic,0.2093726811980243
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,rbf,0.5,normalized_alignment,-0.01819865638477873
strict_source_G4_coordinates,strict_source,source_performance,rbf,0.5,normalized_alignment,-0.00869730515271524
strict_source_G4_coordinates,strict_source,construction_competence,rbf,0.5,normalized_alignment,-0.010373973567286485
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,rbf,0.5,normalized_alignment,-0.027756882134117238
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,rbf,0.5,centered_hsic,0.17129569060727295
strict_source_G4_coordinates,strict_source,source_performance,rbf,0.5,centered_hsic,0.18001216916855667
strict_source_G4_coordinates,strict_source,construction_competence,rbf,0.5,centered_hsic,0.17738782234474193
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,rbf,0.5,centered_hsic,0.16751217670088436
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,rbf,1.0,normalized_alignment,-0.04103193611350182
strict_source_G4_coordinates,strict_source,source_performance,rbf,1.0,normalized_alignment,-0.038798298589358765
strict_source_G4_coordinates,strict_source,construction_competence,rbf,1.0,normalized_alignment,-0.03707348518745046
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,rbf,1.0,normalized_alignment,-0.0430373384391677
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,rbf,1.0,centered_hsic,0.12254836952185569
strict_source_G4_coordinates,strict_source,source_performance,rbf,1.0,centered_hsic,0.12940617669218513
strict_source_G4_coordinates,strict_source,construction_competence,rbf,1.0,centered_hsic,0.13754871430906798
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,rbf,1.0,centered_hsic,0.11733654327624968
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,rbf,2.0,normalized_alignment,-0.04453706343794352
strict_source_G4_coordinates,strict_source,source_performance,rbf,2.0,normalized_alignment,-0.04444991991627128
strict_source_G4_coordinates,strict_source,construction_competence,rbf,2.0,normalized_alignment,-0.044110183734790594
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,rbf,2.0,normalized_alignment,-0.04484576062312597
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,rbf,2.0,centered_hsic,0.09721971763574005
strict_source_G4_coordinates,strict_source,source_performance,rbf,2.0,centered_hsic,0.09892826735974142
strict_source_G4_coordinates,strict_source,construction_competence,rbf,2.0,centered_hsic,0.11380422000723302
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,rbf,2.0,centered_hsic,0.09507473900829487
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,laplacian,0.5,normalized_alignment,-0.028502675909138582
strict_source_G4_coordinates,strict_source,source_performance,laplacian,0.5,normalized_alignment,-0.022683356588294578
strict_source_G4_coordinates,strict_source,construction_competence,laplacian,0.5,normalized_alignment,-0.022326783299237873
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,laplacian,0.5,normalized_alignment,-0.03646189348723241
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,laplacian,0.5,centered_hsic,0.1980057065065492
strict_source_G4_coordinates,strict_source,source_performance,laplacian,0.5,centered_hsic,0.20252047558798003
strict_source_G4_coordinates,strict_source,construction_competence,laplacian,0.5,centered_hsic,0.20307414820602285
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,laplacian,0.5,centered_hsic,0.19459538804967091
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,laplacian,1.0,normalized_alignment,-0.03902529650156043
