path,kernel,bandwidth_factor,statistic,association,bootstrap_ci_low,bootstrap_ci_high,bootstrap_unit,bootstrap_replicates
strict_source,rbf,0.5,normalized_alignment,0.026768950189218054,-0.008760931475876489,0.06448112440821381,target,2000
strict_source,rbf,0.5,centered_hsic,0.21995448301848863,0.1865782188955156,0.252839587548585,target,2000
strict_source,rbf,1.0,normalized_alignment,-0.013294172732278115,-0.0320500947186272,0.008955533739338255,target,2000
strict_source,rbf,1.0,centered_hsic,0.20911650050884187,0.15980007202277544,0.2672786927125156,target,2000
strict_source,rbf,2.0,normalized_alignment,-0.03603430265959559,-0.041693961876922314,-0.028387201801145488,target,2000
strict_source,rbf,2.0,centered_hsic,0.1955737676315708,0.13770261814047263,0.2618208099192029,target,2000
strict_source,laplacian,0.5,normalized_alignment,0.009103853655378443,-0.018057705872301613,0.03802877837533554,target,2000
strict_source,laplacian,0.5,centered_hsic,0.23107203198929646,0.2092252680517615,0.25143471159313246,target,2000
strict_source,laplacian,1.0,normalized_alignment,-0.014465679806498362,-0.031291697170463435,0.005121570697043476,target,2000
strict_source,laplacian,1.0,centered_hsic,0.23414362161678998,0.2005154341510081,0.26877409316063006,target,2000
strict_source,laplacian,2.0,normalized_alignment,-0.029215406758532333,-0.03852031574416039,-0.01839348443066478,target,2000
strict_source,laplacian,2.0,centered_hsic,0.23155542495587772,0.18967493530028087,0.27753352890770455,target,2000
target_unlabeled,rbf,0.5,normalized_alignment,0.04371843745043181,0.003143106964027369,0.08783220986544596,target,2000
target_unlabeled,rbf,0.5,centered_hsic,0.21978189311950092,0.1673989459613703,0.2648975921742648,target,2000
target_unlabeled,rbf,1.0,normalized_alignment,-0.003356552704091697,-0.021298133180002683,0.014499934409520372,target,2000
target_unlabeled,rbf,1.0,centered_hsic,0.21309575962242258,0.15851816352451062,0.2654290098999708,target,2000
target_unlabeled,rbf,2.0,normalized_alignment,-0.03338910538474357,-0.038543920394520516,-0.02761710022661288,target,2000
target_unlabeled,rbf,2.0,centered_hsic,0.2011744541765282,0.14557172728954276,0.2567722236035258,target,2000
target_unlabeled,laplacian,0.5,normalized_alignment,0.025581955933512198,-0.007392424578686147,0.05763987889055703,target,2000
target_unlabeled,laplacian,0.5,centered_hsic,0.23603112752992755,0.2060015097696536,0.2669788564651223,target,2000
target_unlabeled,laplacian,1.0,normalized_alignment,-0.003998056233301587,-0.02332495944526634,0.015298199660239882,target,2000
target_unlabeled,laplacian,1.0,centered_hsic,0.23772458460697768,0.1957727878173513,0.27732344198099657,target,2000
target_unlabeled,laplacian,2.0,normalized_alignment,-0.02379821118140038,-0.032891125821495205,-0.013546215257533438,target,2000
target_unlabeled,laplacian,2.0,centered_hsic,0.23385503555919518,0.1865509618421821,0.28054668378964,target,2000
