null,path,kernel,bandwidth_factor,statistic,observed,null_mean,null_p95,uncorrected_p,global_max_stat_p,null_replicates,bandwidth_recomputed_inside_null
N2_checkpoint_block,target_unlabeled,rbf,1.0,normalized_alignment,-0.003356552704091697,-0.039962686661571566,-0.03210852294230135,0.002,1.0,499,1
N2_checkpoint_block,target_unlabeled,rbf,1.0,centered_hsic,0.21309575962242258,0.12133288699231809,0.15061420556418256,0.002,0.118,499,1
N2_checkpoint_block,target_unlabeled,rbf,2.0,normalized_alignment,-0.03338910538474357,-0.04401625137917718,-0.04178348913607014,0.002,1.0,499,1
N2_checkpoint_block,target_unlabeled,rbf,2.0,centered_hsic,0.2011744541765282,0.10226348817177504,0.13309200875192365,0.002,0.698,499,1
N2_checkpoint_block,target_unlabeled,laplacian,0.5,normalized_alignment,0.025581955933512198,-0.031066451702443473,-0.01547169043124206,0.002,1.0,499,1
N2_checkpoint_block,target_unlabeled,laplacian,0.5,centered_hsic,0.23603112752992755,0.1953387930468404,0.20985273166474536,0.002,0.002,499,1
N2_checkpoint_block,target_unlabeled,laplacian,1.0,normalized_alignment,-0.003998056233301587,-0.03932892075429858,-0.030911950478599695,0.002,1.0,499,1
N2_checkpoint_block,target_unlabeled,laplacian,1.0,centered_hsic,0.23772458460697768,0.17705296698229542,0.1971792424413774,0.002,0.002,499,1
N2_checkpoint_block,target_unlabeled,laplacian,2.0,normalized_alignment,-0.02379821118140038,-0.04263924890218402,-0.03823954136153245,0.002,1.0,499,1
N2_checkpoint_block,target_unlabeled,laplacian,2.0,centered_hsic,0.23385503555919518,0.16284971721696112,0.1860109243800487,0.002,0.002,499,1
N3_trajectory_preserving,strict_source,rbf,0.5,normalized_alignment,0.026768950189218054,-0.026602709670559423,-0.00896189710346105,0.002,1.0,499,1
N3_trajectory_preserving,strict_source,rbf,0.5,centered_hsic,0.21995448301848863,0.16834218296358597,0.186401814487298,0.002,0.008,499,1
N3_trajectory_preserving,strict_source,rbf,1.0,normalized_alignment,-0.013294172732278115,-0.039181170182890225,-0.03165307704845888,0.002,1.0,499,1
N3_trajectory_preserving,strict_source,rbf,1.0,centered_hsic,0.20911650050884187,0.1285477055494735,0.1561944154439088,0.002,0.06,499,1
N3_trajectory_preserving,strict_source,rbf,2.0,normalized_alignment,-0.03603430265959559,-0.04329806145938637,-0.041074116783346104,0.002,1.0,499,1
N3_trajectory_preserving,strict_source,rbf,2.0,centered_hsic,0.1955737676315708,0.11409562404783495,0.1433778270527819,0.002,0.614,499,1
N3_trajectory_preserving,strict_source,laplacian,0.5,normalized_alignment,0.009103853655378443,-0.033303723941365646,-0.01999983826145179,0.002,1.0,499,1
N3_trajectory_preserving,strict_source,laplacian,0.5,centered_hsic,0.23107203198929646,0.19728368536515403,0.2083102250562675,0.002,0.002,499,1
N3_trajectory_preserving,strict_source,laplacian,1.0,normalized_alignment,-0.014465679806498362,-0.039420005216410293,-0.032356842896019415,0.002,1.0,499,1
N3_trajectory_preserving,strict_source,laplacian,1.0,centered_hsic,0.23414362161678998,0.18106249533740068,0.1983855462129863,0.002,0.002,499,1
N3_trajectory_preserving,strict_source,laplacian,2.0,normalized_alignment,-0.029215406758532333,-0.04224170697209917,-0.038456805564421596,0.002,1.0,499,1
N3_trajectory_preserving,strict_source,laplacian,2.0,centered_hsic,0.23155542495587772,0.16843442992006485,0.18916554199098953,0.002,0.002,499,1
N3_trajectory_preserving,target_unlabeled,rbf,0.5,normalized_alignment,0.04371843745043181,-0.019913705341302785,0.0003215627815167591,0.002,1.0,499,1
N3_trajectory_preserving,target_unlabeled,rbf,0.5,centered_hsic,0.21978189311950092,0.15391475492694015,0.1767933120662293,0.002,0.008,499,1
N3_trajectory_preserving,target_unlabeled,rbf,1.0,normalized_alignment,-0.003356552704091697,-0.03447359560271429,-0.024225762687607007,0.002,1.0,499,1
N3_trajectory_preserving,target_unlabeled,rbf,1.0,centered_hsic,0.21309575962242258,0.1173463703068854,0.14528757512693563,0.002,0.022,499,1
N3_trajectory_preserving,target_unlabeled,rbf,2.0,normalized_alignment,-0.03338910538474357,-0.04175010170576972,-0.03831638917907627,0.002,1.0,499,1
N3_trajectory_preserving,target_unlabeled,rbf,2.0,centered_hsic,0.2011744541765282,0.10456927064853294,0.13485148164139557,0.002,0.306,499,1
N3_trajectory_preserving,target_unlabeled,laplacian,0.5,normalized_alignment,0.025581955933512198,-0.026107447374841053,-0.010005535131365383,0.002,1.0,499,1
N3_trajectory_preserving,target_unlabeled,laplacian,0.5,centered_hsic,0.23603112752992755,0.19094956510709754,0.20500501915376979,0.002,0.002,499,1
N3_trajectory_preserving,target_unlabeled,laplacian,1.0,normalized_alignment,-0.003998056233301587,-0.03500683010292389,-0.024982292770583923,0.002,1.0,499,1
N3_trajectory_preserving,target_unlabeled,laplacian,1.0,centered_hsic,0.23772458460697768,0.17137559309235392,0.19142366422598928,0.002,0.002,499,1
N3_trajectory_preserving,target_unlabeled,laplacian,2.0,normalized_alignment,-0.02379821118140038,-0.04001534565735771,-0.03461897992236635,0.002,1.0,499,1
N3_trajectory_preserving,target_unlabeled,laplacian,2.0,centered_hsic,0.23385503555919518,0.1575038436388235,0.18096257060936205,0.002,0.002,499,1
N4_candidate_within_target,strict_source,rbf,0.5,normalized_alignment,0.026768950189218054,-0.03235334055617092,-0.009523298560740318,0.002,1.0,499,1
N4_candidate_within_target,strict_source,rbf,0.5,centered_hsic,0.21995448301848863,0.1607042163943131,0.1852360317174589,0.002,0.004,499,1
N4_candidate_within_target,strict_source,rbf,1.0,normalized_alignment,-0.013294172732278115,-0.0423123007245905,-0.03343128628692535,0.002,1.0,499,1
N4_candidate_within_target,strict_source,rbf,1.0,centered_hsic,0.20911650050884187,0.11445299041036314,0.1451317749311885,0.002,0.038,499,1
N4_candidate_within_target,strict_source,rbf,2.0,normalized_alignment,-0.03603430265959559,-0.04431605057173667,-0.04171516185353379,0.002,1.0,499,1
N4_candidate_within_target,strict_source,rbf,2.0,centered_hsic,0.1955737676315708,0.09683446621417315,0.13032214786807855,0.002,0.3,499,1
N4_candidate_within_target,strict_source,laplacian,0.5,normalized_alignment,0.009103853655378443,-0.038114121712113334,-0.021547248919874848,0.002,1.0,499,1
N4_candidate_within_target,strict_source,laplacian,0.5,centered_hsic,0.23107203198929646,0.19221647913534928,0.2066932843842533,0.002,0.002,499,1
N4_candidate_within_target,strict_source,laplacian,1.0,normalized_alignment,-0.014465679806498362,-0.04249787654037629,-0.033605117704650966,0.002,1.0,499,1
N4_candidate_within_target,strict_source,laplacian,1.0,centered_hsic,0.23414362161678998,0.17271248935166666,0.193797197096519,0.002,0.002,499,1
N4_candidate_within_target,strict_source,laplacian,2.0,normalized_alignment,-0.029215406758532333,-0.043968934768184115,-0.03921203500327854,0.002,1.0,499,1
N4_candidate_within_target,strict_source,laplacian,2.0,centered_hsic,0.23155542495587772,0.15791677536280224,0.18233563317191462,0.002,0.002,499,1
N4_candidate_within_target,target_unlabeled,rbf,0.5,normalized_alignment,0.04371843745043181,-0.03145703542198276,-0.010038589718371451,0.002,1.0,499,1
N4_candidate_within_target,target_unlabeled,rbf,0.5,centered_hsic,0.21978189311950092,0.1426445773079652,0.16748281575367485,0.002,0.004,499,1
N4_candidate_within_target,target_unlabeled,rbf,1.0,normalized_alignment,-0.003356552704091697,-0.04160756655220577,-0.03210737904713991,0.002,1.0,499,1
N4_candidate_within_target,target_unlabeled,rbf,1.0,centered_hsic,0.21309575962242258,0.10009496219026857,0.13011194024387207,0.002,0.018,499,1
N4_candidate_within_target,target_unlabeled,rbf,2.0,normalized_alignment,-0.03338910538474357,-0.044363070034025356,-0.04133790321275991,0.002,1.0,499,1
N4_candidate_within_target,target_unlabeled,rbf,2.0,centered_hsic,0.2011744541765282,0.08463269293521379,0.11480150351513428,0.002,0.132,499,1
N4_candidate_within_target,target_unlabeled,laplacian,0.5,normalized_alignment,0.025581955933512198,-0.036647565138274774,-0.019991529708673413,0.002,1.0,499,1
N4_candidate_within_target,target_unlabeled,laplacian,0.5,centered_hsic,0.23603112752992755,0.1824885213354709,0.19874548854333993,0.002,0.002,499,1
N4_candidate_within_target,target_unlabeled,laplacian,1.0,normalized_alignment,-0.003998056233301587,-0.041883936693234494,-0.03222655066794135,0.002,1.0,499,1
N4_candidate_within_target,target_unlabeled,laplacian,1.0,centered_hsic,0.23772458460697768,0.15857142079240177,0.18015875075213528,0.002,0.002,499,1
N4_candidate_within_target,target_unlabeled,laplacian,2.0,normalized_alignment,-0.02379821118140038,-0.04389917861405835,-0.03880536877869632,0.002,1.0,499,1
N4_candidate_within_target,target_unlabeled,laplacian,2.0,centered_hsic,0.23385503555919518,0.14224858997528547,0.16650190384385952,0.002,0.002,499,1
N5_identity_matched,strict_source,rbf,0.5,normalized_alignment,0.026768950189218054,-0.013698434630898376,0.004183269443876671,0.002,1.0,499,1
N5_identity_matched,strict_source,rbf,0.5,centered_hsic,0.21995448301848863,0.19701638142999187,0.21458606924844328,0.02,0.374,499,1
N5_identity_matched,strict_source,rbf,1.0,normalized_alignment,-0.013294172732278115,-0.03504682961285673,-0.027794979944617413,0.002,1.0,499,1
N5_identity_matched,strict_source,rbf,1.0,centered_hsic,0.20911650050884187,0.15817178159870274,0.18571470195461695,0.004,0.922,499,1
N5_identity_matched,strict_source,rbf,2.0,normalized_alignment,-0.03603430265959559,-0.04227961279136714,-0.040246108460279324,0.002,1.0,499,1
N5_identity_matched,strict_source,rbf,2.0,centered_hsic,0.1955737676315708,0.13844260596897118,0.16824551931189244,0.002,1.0,499,1
N5_identity_matched,strict_source,laplacian,0.5,normalized_alignment,0.009103853655378443,-0.025694301309456647,-0.01331698207813901,0.002,1.0,499,1
N5_identity_matched,strict_source,laplacian,0.5,centered_hsic,0.23107203198929646,0.21066456892630728,0.22052347710904774,0.002,0.084,499,1
N5_identity_matched,strict_source,laplacian,1.0,normalized_alignment,-0.014465679806498362,-0.03525043171756882,-0.028172697648698796,0.002,1.0,499,1
N5_identity_matched,strict_source,laplacian,1.0,centered_hsic,0.23414362161678998,0.2025414008308423,0.21887611713729044,0.004,0.054,499,1
N5_identity_matched,strict_source,laplacian,2.0,normalized_alignment,-0.029215406758532333,-0.04009161681500535,-0.036379883669049685,0.002,1.0,499,1
N5_identity_matched,strict_source,laplacian,2.0,centered_hsic,0.23155542495587772,0.19316003605094395,0.2136973459305921,0.004,0.076,499,1
N5_identity_matched,target_unlabeled,rbf,0.5,normalized_alignment,0.04371843745043181,-0.00028734323597763946,0.02388106070653294,0.004,1.0,499,1
N5_identity_matched,target_unlabeled,rbf,0.5,centered_hsic,0.21978189311950092,0.20206498371112191,0.22588607626044538,0.098,0.38,499,1
N5_identity_matched,target_unlabeled,rbf,1.0,normalized_alignment,-0.003356552704091697,-0.02626208143687114,-0.017722777985879845,0.002,1.0,499,1
N5_identity_matched,target_unlabeled,rbf,1.0,centered_hsic,0.21309575962242258,0.17654278761461867,0.20771637689645164,0.034,0.784,499,1
N5_identity_matched,target_unlabeled,rbf,2.0,normalized_alignment,-0.03338910538474357,-0.039548108536453075,-0.036941062490785194,0.002,1.0,499,1
N5_identity_matched,target_unlabeled,rbf,2.0,centered_hsic,0.2011744541765282,0.16083392821337608,0.19357044438206542,0.026,1.0,499,1
N5_identity_matched,target_unlabeled,laplacian,0.5,normalized_alignment,0.025581955933512198,-0.013707570874569792,0.00309978522003562,0.002,1.0,499,1
N5_identity_matched,target_unlabeled,laplacian,0.5,centered_hsic,0.23603112752992755,0.2169343046416088,0.23029646933068376,0.012,0.04,499,1
N5_identity_matched,target_unlabeled,laplacian,1.0,normalized_alignment,-0.003998056233301587,-0.027438698624251454,-0.018709650625391167,0.002,1.0,499,1
N5_identity_matched,target_unlabeled,laplacian,1.0,centered_hsic,0.23772458460697768,0.21331239326525658,0.23348530190313335,0.026,0.03,499,1
