tag,rotation,projection_overlap_rank4,subject_heldout_captured_energy,task_heldout_captured_energy,subspace_stable
random,0,0.1285489045630445,0.3613408798174934,0.5683168466213977,True
random,1,0.12789538878720555,0.34903908029968256,0.5914839605436708,True
random,2,0.15086181177980165,0.3445926786925052,0.5972185937202602,True
random,3,0.16887498734723316,0.38091176558775647,0.5945025511262296,True
random,4,0.12901314553626012,0.3454905076849861,0.5704853726824883,True
random,5,0.13950048672109425,0.3414255707380287,0.6001982752752276,True
random,6,0.1261631575288712,0.39191583867852164,0.6285266950489499,True
random,7,0.1304175937526174,0.3440082687284356,0.6309622886272317,True
random,8,0.12592977371133812,0.3684397289298929,0.5946518760799233,True
random,9,0.14607686266517017,0.37710009050868276,0.5800615431358025,True
