path,cells,targets,prior_oracle_best_in_predicted_top1,full_oracle_best_in_predicted_top1,delta_oracle_best_in_predicted_top1,prior_selected_within_true_top1,full_selected_within_true_top1,delta_selected_within_true_top1,prior_joint_good_coverage_top1,full_joint_good_coverage_top1,delta_joint_good_coverage_top1,prior_oracle_best_in_predicted_top5,full_oracle_best_in_predicted_top5,delta_oracle_best_in_predicted_top5,prior_selected_within_true_top5,full_selected_within_true_top5,delta_selected_within_true_top5,prior_joint_good_coverage_top5,full_joint_good_coverage_top5,delta_joint_good_coverage_top5,prior_oracle_best_in_predicted_top10,full_oracle_best_in_predicted_top10,delta_oracle_best_in_predicted_top10,prior_selected_within_true_top10,full_selected_within_true_top10,delta_selected_within_true_top10,prior_joint_good_coverage_top10,full_joint_good_coverage_top10,delta_joint_good_coverage_top10,prior_standardized_regret,full_standardized_regret,standardized_regret_reduction,positive_regret_reduction_targets,material_topk,material_regret,material_actionability
strict_source,16,8,0.0,0.0625,0.0625,0.0,0.0625,0.0625,0.125,0.125,0.0,0.1875,0.125,-0.0625,0.0625,0.0625,0.0,0.625,0.5,-0.125,0.3125,0.25,-0.0625,0.3125,0.25,-0.0625,0.6875,0.625,-0.0625,0.2963854805041416,0.3278520556845558,-0.03146657518041418,2,0,0,0
target_unlabeled,16,8,0.0,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.125,0.125,0.1875,0.1875,0.0,0.0,0.0625,0.0625,0.75,0.5625,-0.1875,0.3125,0.375,0.0625,0.125,0.25,0.125,0.8125,0.8125,0.0,0.35395544688409175,0.3437096553854071,0.010245791498684653,3,1,0,1
