stratum,stream,n_windows,tokens_per_window,n_tokens,unique_codes,codebook_utilization_fraction,entropy_nats,normalized_entropy,effective_perplexity,dominant_code_fraction,unique_sequences,unique_sequence_fraction,minimum_unique_sequences_required,check_windows,check_unique_codes,check_perplexity,check_dominant_fraction,check_unique_sequences,stream_stratum_gate_pass
H200,temporal,256,570,145920,2,0.00048828125,0.0003153647406229256,3.791459561399409e-05,1.0003154144733106,0.9999725877192982,2,0.0078125,16,True,False,False,False,False,False
H200,frequency,256,570,145920,4069,0.993408203125,7.88333433992239,0.9477706131563086,2652.702842929897,0.006853070175438596,256,1.0,16,True,True,True,True,True,True
H1000_increment,temporal,256,570,145920,6,0.00146484375,0.006687321140044079,0.0008039804204644603,1.0067097311986277,0.9992118969298246,8,0.03125,16,True,False,False,False,False,False
H1000_increment,frequency,256,570,145920,4067,0.992919921875,7.866382451099051,0.9457325793280476,2608.113523631653,0.008175712719298246,256,1.0,16,True,True,True,True,True,True
H2000_increment,temporal,256,570,145920,2,0.00048828125,0.0009199263892570165,0.00011059776998033234,1.000920349651318,0.9999109100877193,5,0.01953125,16,True,False,False,False,False,False
H2000_increment,frequency,256,570,145920,4063,0.991943359375,7.868479844764003,0.9459847376146491,2613.5895050505324,0.007435581140350877,256,1.0,16,True,True,True,True,True,True
pretrain_val,temporal,256,570,145920,1,0.000244140625,-0.0,-0.0,1.0,1.0,1,0.00390625,16,True,False,False,False,False,False
pretrain_val,frequency,256,570,145920,4064,0.9921875,7.830990404894768,0.9414775851992282,2517.4214056372657,0.006859923245614035,256,1.0,16,True,True,True,True,True,True
