stage,target_id,budget,candidate_count,empirical_top1,finite_population_top1_lower_bound,bound_gap,bound_nontrivial
T3-HO,6,16,108,0.036848958333333334,0.0,0.036848958333333334,0
T3-HO,6,32,108,0.014973958333333334,0.0,0.014973958333333334,0
T3-HO,6,64,108,0.0,0.0,0.0,0
T3-HO,6,full-construction,108,0.0,0.0,0.0,0
T3-HO,7,4,112,0.010296737938596489,0.0,0.010296737938596489,0
T3-HO,7,8,112,0.007393973214285714,0.0,0.007393973214285714,0
T3-HO,7,16,112,0.0078125,0.0,0.0078125,0
T3-HO,7,32,112,0.0,0.0,0.0,0
T3-HO,7,64,112,0.0,0.0,0.0,0
T3-HO,7,full-construction,112,0.0,0.0,0.0,0
T3-HO,8,4,106,0.007994707115800866,0.0,0.007994707115800866,0
T3-HO,8,8,106,0.0048847273284313725,0.0,0.0048847273284313725,0
T3-HO,8,16,106,0.010416666666666666,0.0,0.010416666666666666,0
T3-HO,8,32,106,0.005859375,0.0,0.005859375,0
T3-HO,8,64,106,0.0,0.0,0.0,0
T3-HO,8,full-construction,106,0.0,0.0,0.0,0
T3-HO,9,4,115,0.019735863095238095,0.0,0.019735863095238095,0
T3-HO,9,8,115,0.02890625,0.0,0.02890625,0
T3-HO,9,16,115,0.05546875,0.0,0.05546875,0
T3-HO,9,32,115,0.051888020833333326,0.0,0.051888020833333326,0
T3-HO,9,64,115,0.0,0.0,0.0,0
T3-HO,9,full-construction,115,0.0,0.0,0.0,0
