path,new_block,outcome,observed_incremental_R2,primary_nested_null_mean,primary_nested_null_p95,uncorrected_p,max_stat_corrected_p,secondary_nested_null_mean,secondary_nested_null_p95,secondary_uncorrected_p,null_replicates,null_scheme,secondary_null_scheme,outer_fold_alphas_frozen_from_observed_nested_crossfit
P_F4_target_architecture,F4,continuous_joint_utility,-0.20834335698132767,-0.18401138851414428,-0.12605585686508758,0.752,1.0,-0.14363160590928137,-0.09143027553293201,0.964,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,bAcc,-0.003416957664151843,-0.020326942475962693,-0.002684681806808916,0.056,1.0,-0.006172417492879396,0.012420123002915682,0.378,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,negNLL,0.0050317116528845185,-0.09390516111754689,-0.03187030830636633,0.012,1.0,-0.09695003836195824,-0.03419308876562965,0.004,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,negECE,0.019333356475393804,-0.04360110306385989,-0.004042951972801656,0.006,1.0,-0.02089192199088804,0.019982786547600908,0.058,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,primary_joint_good,0.020673354170098746,0.0007903183511051013,0.03949608078859772,0.232,1.0,0.022093801363128582,0.05293050460873663,0.534,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F4_target_architecture,F4,unexplained_candidate_specific_residual,-0.001160197956297404,-0.0014463621940795782,0.0018832570389782912,0.442,1.0,-0.00027203204068678436,0.0029836613484715883,0.668,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F5_construction_positive,F5,continuous_joint_utility,0.4527530979589407,0.12209378150713804,0.21522891996228694,0.002,0.002,0.10515231243833774,0.19330890127966008,0.002,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F5_construction_positive,F5,bAcc,0.13185226616010548,-0.2727666323176174,-0.11860129871336492,0.002,0.428,-0.3105229922188987,-0.17840307607015754,0.002,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F5_construction_positive,F5,negNLL,0.13909575940237084,0.013776683574970996,0.06834364562114077,0.002,0.36,-0.0073602193871390165,0.048266547921170584,0.002,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F5_construction_positive,F5,negECE,0.04978442933907834,-0.25637503867137124,-0.14113517931922787,0.002,0.994,-0.3119898722191424,-0.19134567963579896,0.002,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F5_construction_positive,F5,primary_joint_good,0.08676052339113483,0.0686242295483374,0.0835434860169049,0.02,0.762,0.0628371321979071,0.0765236500249413,0.008,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
P_F5_construction_positive,F5,unexplained_candidate_specific_residual,-0.0030355438961169323,-0.0007340966118208902,0.0022681975468635362,0.906,1.0,-6.348607307635752e-06,0.0028808876892506747,0.982,499,permute_new_block_within_target_x_trajectory_keep_prior_and_outcome_fixed,permute_new_block_within_target_keep_prior_and_outcome_fixed,1
