view,summary_max_abs_Wz_minus_logits_minus_b,B1_rank,B2_rank,column_space_prediction_delta_max_abs,column_space_incremental_R2,naive_ridge_incremental_R2,interpretation
strict_source,0.0,38,38,3.060940390042788e-12,-1.1870504579292174e-12,-0.009436851264785773,Wz_exactly_redundant_beyond_logits_and_bias;naive_duplicate_gain_is_regularization_parameterization
target_unlabeled,0.0,55,55,2.8950619679335432e-11,-1.090649792701015e-11,-0.0004361878316565537,Wz_exactly_redundant_beyond_logits_and_bias;naive_duplicate_gain_is_regularization_parameterization
