tag,dataset,draw,endpoint,information_regime,removal_kind,rank,fit_removed_energy_fraction,variance_match_abs_error,cohen_kappa,balanced_accuracy,nll,n_units,prediction_sha256,delta_kappa_vs_unchanged,delta_bacc_vs_unchanged,delta_nll_vs_unchanged
released,seedv,0,fresh_head,global_oracle,same_rank_random,15,0.026046019295573257,0.0,0.19680851063829785,0.3574468085106383,1.6296782472447073,235,d790da83daf20a380350552e33a1aaf3aa1856ae386a2145082aa68e27cff256,0.021276595744680882,0.01702127659574476,0.024461506159241697
released,seedv,0,exact_head,global_oracle,same_rank_random,15,0.026046019295573257,0.0,0.19680851063829785,0.35744680851063826,1.6285089045141334,235,95e02415c3c0db3ed33e60abf8883bd55d8a7171668560eec9bc555bd8082223,0.021276595744680882,0.017021276595744705,0.0232921634286678
released,seedv,0,fresh_head,global_oracle,variance_matched_random,172,0.8775891837957355,5.551115123125783e-16,0.19148936170212771,0.3531914893617021,1.5850615119078033,235,b16b65a750325fa2ce92122c4a8edf75f796ec65b7326dcddfe2b9e6a4deb652,0.015957446808510745,0.012765957446808529,-0.020155229177662326
released,seedv,0,exact_head,global_oracle,variance_matched_random,172,0.8775891837957355,5.551115123125783e-16,-0.06914893617021267,0.1446808510638298,3.093173867395494,235,f41fab5fb14853d45b54549d79cd9f6a04350f0208c517052745273e99a061bf,-0.24468085106382964,-0.19574468085106375,1.4879571263100282
released,seedv,1,fresh_head,global_oracle,same_rank_random,15,0.019627608424918685,0.0,0.1542553191489362,0.32340425531914896,1.6133796458739913,235,0dc8413003cfdd732bedad5ed574b973bde524a668e70bf18fcf3525a7b13dcd,-0.02127659574468077,-0.017021276595744594,0.00816290478852566
released,seedv,1,exact_head,global_oracle,same_rank_random,15,0.019627608424918685,0.0,0.17021276595744683,0.33617021276595743,1.6136431096974129,235,f7e3ca79107300dab93460c58ac1df45efbf8d56943b4156abe47486b7365ce3,-0.005319148936170137,-0.004255319148936121,0.008426368611947233
released,seedv,1,fresh_head,global_oracle,variance_matched_random,171,0.8775891837957346,3.3306690738754696e-16,0.15957446808510634,0.3276595744680851,1.6106328409501998,235,8c0be39d936f1354910d99ebf748d0d86c049fe713ed3969adcd49cb018fa41f,-0.015957446808510634,-0.012765957446808474,0.005416099864734125
released,seedv,1,exact_head,global_oracle,variance_matched_random,171,0.8775891837957346,3.3306690738754696e-16,0.010638297872340385,0.2085106382978723,3.161647935403915,235,658f91b7b5ad59f84382402f8053da63b19ab575e941ecb3cbc9c05cf2f5f960,-0.16489361702127658,-0.13191489361702124,1.5564311943184495
released,seedv,2,fresh_head,global_oracle,same_rank_random,15,0.04308797322095175,0.0,0.16489361702127647,0.33191489361702126,1.6190279772604363,235,0310376e6e49311b37d14d1a0376c4f2c6cc62ad3de8d47d7266954edcb1df29,-0.010638297872340496,-0.008510638297872297,0.013811236174970709
released,seedv,2,exact_head,global_oracle,same_rank_random,15,0.04308797322095175,0.0,0.17553191489361697,0.34042553191489355,1.588981477716264,235,0fb3c9ee403f806eb742432769f5a1cab310892d5d4b08807313249ff6893aba,0.0,0.0,-0.016235263369201558
released,seedv,2,fresh_head,global_oracle,variance_matched_random,180,0.8775891837957351,2.220446049250313e-16,0.10106382978723405,0.28085106382978725,1.6495368300116853,235,fd2c43c4916923e1e3d06daa1337c78320bf59087e07648c1a36ba1845948868,-0.07446808510638292,-0.0595744680851063,0.044320088926219636
released,seedv,2,exact_head,global_oracle,variance_matched_random,180,0.8775891837957351,2.220446049250313e-16,0.06382978723404253,0.251063829787234,3.245543363009103,235,24198683cef17bd7d2fd744d38da7136c03c5d598a87f53a76e8f5205c5b2087,-0.11170212765957444,-0.08936170212765954,1.6403266219236372
released,seedv,3,fresh_head,global_oracle,same_rank_random,15,0.016534927058711624,0.0,0.1542553191489362,0.32340425531914896,1.6034628585210622,235,9029e675394ef2c37c8f4e4633238cb1d8cf7863f1e04db44d4ac71d38ca86e3,-0.02127659574468077,-0.017021276595744594,-0.0017538825644034528
released,seedv,3,exact_head,global_oracle,same_rank_random,15,0.016534927058711624,0.0,0.17021276595744683,0.33617021276595743,1.601771347998555,235,81711c46bf6a8ce4781f23db5e10cd7335fac56fec7fb4aab349c01906b67850,-0.005319148936170137,-0.004255319148936121,-0.0034453930869107197
released,seedv,3,fresh_head,global_oracle,variance_matched_random,174,0.8775891837957349,0.0,0.1542553191489362,0.3234042553191489,1.5762698457612738,235,30833562c6658b908229a915e8b5e2ca9dfb1746b1f5c09272bbe57a07134e97,-0.02127659574468077,-0.01702127659574465,-0.028946895324191813
released,seedv,3,exact_head,global_oracle,variance_matched_random,174,0.8775891837957349,0.0,0.03191489361702127,0.225531914893617,2.5624578026809015,235,67738553d096761c254a3dfc10f4fdc320cea44f914722f5e239386a3b332342,-0.1436170212765957,-0.11489361702127654,0.9572410615954359
released,seedv,4,fresh_head,global_oracle,same_rank_random,15,0.035838130793609806,0.0,0.21808510638297873,0.37446808510638296,1.6128880156360499,235,07ef41c9a98f3ecabbfdc6f1ef2dcec71af137893dce5d378d8d057673d86030,0.042553191489361764,0.03404255319148941,0.0076712745505842506
released,seedv,4,exact_head,global_oracle,same_rank_random,15,0.035838130793609806,0.0,0.19680851063829785,0.35744680851063826,1.5940612561518366,235,6ebdf866605f5b38a913e9fe8ba86c2b89b78587cd81f66a7850279362c2c08b,0.021276595744680882,0.017021276595744705,-0.011155484933629056
released,seedv,4,fresh_head,global_oracle,variance_matched_random,174,0.8775891837957345,4.440892098500626e-16,0.1063829787234043,0.28510638297872337,1.6298784511354094,235,bbb97bf1b6e37e9ac30902591cee3d9fbb7936d1e2522ec2328ad489b8787da1,-0.06914893617021267,-0.05531914893617018,0.024661710049943775
released,seedv,4,exact_head,global_oracle,variance_matched_random,174,0.8775891837957345,4.440892098500626e-16,0.015957446808510634,0.2127659574468085,2.6532664295212687,235,e7677cf8069475d838d92c194d0d2b07dd37e19160716db8878ddf96a01f7613,-0.15957446808510634,-0.12765957446808504,1.048049688435803
released,seedv,5,fresh_head,global_oracle,same_rank_random,15,0.018110578243082206,0.0,0.19148936170212771,0.35319148936170214,1.6204333974052045,235,9288ba714fd0625a645a7a5110f3f771404e554982220251355c16fb1dc5acf8,0.015957446808510745,0.012765957446808585,0.015216656319738897
released,seedv,5,exact_head,global_oracle,same_rank_random,15,0.018110578243082206,0.0,0.19148936170212771,0.3531914893617021,1.606647778682291,235,bbe523eb97cf1774e03dccb9eb1d07346d57be9225f2bf646afd9114e56c534a,0.015957446808510745,0.012765957446808529,0.0014310375968253908
released,seedv,5,fresh_head,global_oracle,variance_matched_random,178,0.8775891837957347,2.220446049250313e-16,0.1542553191489362,0.3234042553191489,1.5969182606129995,235,e52e178abea845a06add5cda1c1a5e445beec9b8e121a486395295ff26ea24e5,-0.02127659574468077,-0.01702127659574465,-0.008298480472466174
released,seedv,5,exact_head,global_oracle,variance_matched_random,178,0.8775891837957347,2.220446049250313e-16,0.005319148936170248,0.2042553191489362,3.780062958456671,235,0b669979975952e1e9e188e573374d67e1b94af0d2ca8cb14235481f2af238fd,-0.17021276595744672,-0.13617021276595737,2.174846217371205
released,seedv,6,fresh_head,global_oracle,same_rank_random,15,0.03098740052782406,0.0,0.14893617021276595,0.3191489361702128,1.6180534160534707,235,91226a08cf636f9631e95547971aa32a2cd6e3fd32bd78d48cff7570d1e5d08b,-0.02659574468085102,-0.02127659574468077,0.012836674968005113
released,seedv,6,exact_head,global_oracle,same_rank_random,15,0.03098740052782406,0.0,0.16489361702127658,0.33191489361702126,1.6057285226179188,235,16cd87c690bd02010d9a0f742ec1e7bdb30b484afbb50c1ffe5f74888480e674,-0.010638297872340385,-0.008510638297872297,0.0005117815324531261
released,seedv,6,fresh_head,global_oracle,variance_matched_random,167,0.8775891837957349,0.0,0.1436170212765957,0.31489361702127655,1.5890518315008748,235,c5da1c8f092ed0037cf85f9437711428d0dbb23d1ac4ef490edc02518984a863,-0.03191489361702127,-0.025531914893617003,-0.016164909584590825
released,seedv,6,exact_head,global_oracle,variance_matched_random,167,0.8775891837957349,0.0,0.015957446808510634,0.2127659574468085,2.6647120341074455,235,ca68f3ffd29bfde15a2818d8630827361af8a76988e5a2302b0e30e677d37b90,-0.15957446808510634,-0.12765957446808504,1.0594952930219799
released,seedv,7,fresh_head,global_oracle,same_rank_random,15,0.02648305758773806,0.0,0.18085106382978722,0.3446808510638298,1.6250213115024252,235,85673b83a3ea6faedfc301b49c08d7fd9c66d9d87791a7799038665cc2d109fe,0.005319148936170248,0.004255319148936232,0.0198045704169596
released,seedv,7,exact_head,global_oracle,same_rank_random,15,0.02648305758773806,0.0,0.18617021276595747,0.34893617021276596,1.598736913925059,235,89a2b58e8af1941441fbdde1eb296d6737f3413b264f0bf48a02feb1a4dfabac,0.010638297872340496,0.008510638297872408,-0.006479827160406737
