budget,endpoint,component,mean_shapley_fraction,ci_lower,ci_upper,order_range,dominant
8,bAcc,extreme_order_geometry,0.3681805141467309,0.2794193757810225,0.4117647377010133,0.769230411159035,0
8,bAcc,candidate_specific_unexplained_residual,0.5280643124221116,0.3944025258340982,0.6090531981503111,0.8472678432412682,0
8,bAcc,finite_label_noise,0.0486582989837763,0.0014235387761467827,0.09217640169080707,0.16732873843839155,0
8,bAcc,shared_target_calibration,0.004706603612220637,-0.0477715692793152,0.05258720928322743,0.27157410309845054,0
8,bAcc,utility_mismatch,0.0503902708351605,0.003384784490614739,0.09869528499271411,0.18702072001250938,0
full-construction,ECE,extreme_order_geometry,0.37615274324945264,0.23062518488645514,0.4147315302708483,0.7205869777100976,0
full-construction,ECE,candidate_specific_unexplained_residual,0.5912690252048458,0.37865611153836004,0.6397002478400647,0.8200562072700737,0
full-construction,ECE,finite_label_noise,0.0,0.0,0.0,0.0,0
full-construction,ECE,shared_target_calibration,-0.024338115830236373,-0.04376751947024779,-0.002416167203148578,0.1111111111111111,0
full-construction,ECE,utility_mismatch,0.056916347375937926,0.00772637149125249,0.11670739146752511,0.1621086866926065,0
full-construction,NLL,extreme_order_geometry,0.338333760212541,0.20900352863383437,0.378049316542837,0.7502348676517895,0
full-construction,NLL,candidate_specific_unexplained_residual,0.44081790526109443,0.2771558325634611,0.4814444293554385,0.881758541620814,0
full-construction,NLL,finite_label_noise,0.0,0.0,0.0,0.0,0
full-construction,NLL,shared_target_calibration,-0.004167375044116005,-0.046262868040450995,0.04078253818510874,0.16666666666666666,0
full-construction,NLL,utility_mismatch,0.22501570957048042,0.09972420340352442,0.2921220375969693,0.5555555555555556,0
full-construction,bAcc,extreme_order_geometry,0.43493005204631024,0.24029567792172396,0.45680445472579784,0.769230411159035,0
full-construction,bAcc,candidate_specific_unexplained_residual,0.5702894139543686,0.3105668688757764,0.5923027710517444,0.795788139184205,0
full-construction,bAcc,finite_label_noise,0.0,0.0,0.0,0.0,0
full-construction,bAcc,shared_target_calibration,-0.005219466000678806,-0.11765427264312829,0.0042020404372462156,0.1111111111111111,0
full-construction,bAcc,utility_mismatch,0.0,0.0,0.0,0.0,0
full-construction,continuous_joint_utility,extreme_order_geometry,0.3818417353674277,0.2457631434888905,0.40239916993478775,0.7486680685225191,0
full-construction,continuous_joint_utility,candidate_specific_unexplained_residual,0.512887834303499,0.3231527599905031,0.5644691056829716,0.8021129833510969,0
full-construction,continuous_joint_utility,finite_label_noise,0.0,0.0,0.0,0.0,0
full-construction,continuous_joint_utility,shared_target_calibration,-0.014875245600642545,-0.03600176043049327,0.006164632517170223,0.17514594428321356,0
full-construction,continuous_joint_utility,utility_mismatch,0.12014567592971584,0.017955302884709715,0.2055702223560011,0.3333333333333333,0
full-construction,primary_joint_good,extreme_order_geometry,0.362653174551306,0.13457423098574628,0.3846307680161284,0.6998239154960071,0
full-construction,primary_joint_good,candidate_specific_unexplained_residual,0.4756193033931829,0.30037434130664986,0.5104962962747602,0.804057048887905,0
full-construction,primary_joint_good,finite_label_noise,0.0,0.0,0.0,0.0,0
full-construction,primary_joint_good,shared_target_calibration,-0.021504380503202497,-0.13008181655801615,0.0027560598606292167,0.2777777777777778,0
full-construction,primary_joint_good,utility_mismatch,0.18323190255871355,0.061040876827295136,0.24338863097980282,0.4444444444444444,0
