dataset,target_subject,method,n_source_seeds,bacc_q01,bacc_q05,bacc_q09,acc_q01,acc_q05,acc_q09,prevalence_sensitivity,endpoint_mean_bacc,worst_prevalence_bacc,prediction_disagreement_q01_vs_q05,prediction_disagreement_q09_vs_q05,endpoint_mean_prediction_disagreement
Lee2019_MI,1,source_only_tsmnet,3,0.52,0.52,0.52,0.52,0.52,0.52,0.0,0.52,0.52,0.0,0.0,0.0
Lee2019_MI,1,rct,3,0.7333333333333334,0.7666666666666666,0.6466666666666666,0.7333333333333334,0.7666666666666666,0.6466666666666666,0.0766666666666666,0.69,0.6466666666666666,0.20666666666666667,0.25333333333333335,0.23
Lee2019_MI,1,spdim_geodesic,3,0.7466666666666667,0.7733333333333334,0.6733333333333333,0.7466666666666667,0.7733333333333334,0.6733333333333333,0.06333333333333341,0.71,0.6733333333333333,0.16,0.19333333333333336,0.1766666666666667
Lee2019_MI,1,spdim_bias,3,0.7399999999999999,0.7733333333333334,0.7733333333333334,0.7399999999999999,0.7733333333333334,0.7733333333333334,0.016666666666666774,0.7566666666666666,0.7399999999999999,0.04666666666666667,0.013333333333333334,0.030000000000000002
Lee2019_MI,1,Joint-GEM,3,0.7466666666666667,0.7400000000000001,0.5533333333333333,0.7466666666666667,0.7400000000000001,0.5533333333333333,0.09666666666666668,0.65,0.5533333333333333,0.24666666666666667,0.26666666666666666,0.25666666666666665
Lee2019_MI,1,FP-GEM,3,0.7466666666666667,0.7266666666666667,0.5666666666666668,0.7466666666666667,0.7266666666666667,0.5666666666666668,0.08999999999999997,0.6566666666666667,0.5666666666666668,0.26,0.25333333333333335,0.2566666666666667
Lee2019_MI,2,source_only_tsmnet,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
Lee2019_MI,2,rct,3,0.6933333333333334,0.6999999999999998,0.7066666666666667,0.6933333333333334,0.6999999999999998,0.7066666666666667,0.006666666666666654,0.7,0.6933333333333334,0.03333333333333333,0.08666666666666667,0.06
Lee2019_MI,2,spdim_geodesic,3,0.6666666666666666,0.6999999999999998,0.7133333333333333,0.6666666666666666,0.6999999999999998,0.7133333333333333,0.023333333333333317,0.69,0.6666666666666666,0.03333333333333333,0.10666666666666667,0.07
Lee2019_MI,2,spdim_bias,3,0.6266666666666666,0.68,0.7133333333333333,0.6266666666666666,0.68,0.7133333333333333,0.043333333333333335,0.6699999999999999,0.6266666666666666,0.10666666666666667,0.12666666666666668,0.11666666666666667
Lee2019_MI,2,Joint-GEM,3,0.7133333333333333,0.7066666666666667,0.7466666666666667,0.7133333333333333,0.7066666666666667,0.7466666666666667,0.023333333333333317,0.73,0.7133333333333333,0.04666666666666666,0.05333333333333334,0.05
Lee2019_MI,2,FP-GEM,3,0.7066666666666667,0.7066666666666667,0.7333333333333334,0.7066666666666667,0.7066666666666667,0.7333333333333334,0.013333333333333364,0.72,0.7066666666666667,0.02666666666666667,0.05333333333333334,0.04
Lee2019_MI,3,source_only_tsmnet,3,0.6266666666666666,0.6266666666666666,0.6266666666666666,0.6266666666666666,0.6266666666666666,0.6266666666666666,0.0,0.6266666666666666,0.6266666666666666,0.0,0.0,0.0
