array_task_id,run_id,repo_root,cwd,results_dir,log_dir,checkpoint_dir,resolved_H,resolved_seed,dry_run,path_ok,trainer_called
0,H200_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/logs,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s0,200,0,true,true,false
1,H200_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/logs,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s1,200,1,true,true,false
2,H500_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/logs,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s0,500,0,true,true,false
3,H500_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/logs,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s1,500,1,true,true,false
4,H1000_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/logs,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s0,1000,0,true,true,false
5,H1000_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/logs,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s1,1000,1,true,true,false
6,H2000_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/logs,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H2000_s0,2000,0,true,true,false
7,H2000_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/logs,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H2000_s1,2000,1,true,true,false
