suite,job_id,command,environment,partition,cpus,commit_under_test,passed,skipped,deselected,failed,skip_reason,stderr_status,pytest_seconds,stdout_path,stdout_sha256,status
focused,893765,sbatch oaci/slurm_c80p_regression.sh focused,/home/infres/yinwang/anaconda3/envs/eeg2025/bin/python,cpu-high,48,17946fa493cea408d9a1f651751b0f4b966558db,29,0,3,0,none,combined_with_stdout_no_error_diagnostics,1.72,/home/infres/yinwang/CMI_AAAI_oaci/slurm-893765.out,0d182f23d6996be3a532b5afc12fcee336419ba805fd92013ef231455faadbb6,PASS
c65_c80p,893767,sbatch oaci/slurm_c80p_regression.sh c65,/home/infres/yinwang/anaconda3/envs/eeg2025/bin/python,cpu-high,48,17946fa493cea408d9a1f651751b0f4b966558db,344,1,3,0,C78F_already_passed_red_team_and_finalized,combined_with_stdout_no_error_diagnostics,62.14,/home/infres/yinwang/CMI_AAAI_oaci/slurm-893767.out,237c76fa6418adbb4171525c440585e3c4a8a047f225128fff8e8e0006c32663,PASS
c23_c80p,893766,sbatch oaci/slurm_c80p_regression.sh c23,/home/infres/yinwang/anaconda3/envs/eeg2025/bin/python,cpu-high,48,17946fa493cea408d9a1f651751b0f4b966558db,751,1,3,0,C78F_already_passed_red_team_and_finalized,combined_with_stdout_no_error_diagnostics,102.58,/home/infres/yinwang/CMI_AAAI_oaci/slurm-893766.out,7d23ff18ca012f1358d7a872faf3efce238322b8108fcf65a9c8e03cdf2f3753,PASS
full_oaci,893768,sbatch oaci/slurm_c80p_regression.sh full,/home/infres/yinwang/anaconda3/envs/eeg2025/bin/python,cpu-high,48,17946fa493cea408d9a1f651751b0f4b966558db,1679,1,3,0,C78F_already_passed_red_team_and_finalized,combined_with_stdout_no_error_diagnostics,264.78,/home/infres/yinwang/CMI_AAAI_oaci/slurm-893768.out,ae53ec2f61c2fc63efa5d20dc17ee0e45141d363171bb42f35298631c05f996e,PASS
